Belegungsfaktor: 0,1092896 | T(20): 072.265 | T1(20): 016.092 | T2(20): 021.650 | T3(20): 034.523
Belegungsfaktor: 0,1086957 | T(20): 116.736 | T1(20): 059.685 | T2(20): 021.358 | T3(20): 035.693
Belegungsfaktor: 0,1081081 | T(20): 144.530 | T1(20): 083.383 | T2(20): 024.283 | T3(20): 036.864
Belegungsfaktor: 0,1075269 | T(20): 123.466 | T1(20): 042.423 | T2(20): 027.502 | T3(20): 053.541
Belegungsfaktor: 0,1069519 | T(20): 161.792 | T1(20): 025.161 | T2(20): 083.968 | T3(20): 052.663
Belegungsfaktor: 0,1063830 | T(20): 132.535 | T1(20): 071.973 | T2(20): 023.113 | T3(20): 037.449
Belegungsfaktor: 0,1058201 | T(20): 080.164 | T1(20): 016.091 | T2(20): 025.454 | T3(20): 038.619
Belegungsfaktor: 0,1052632 | T(20): 072.558 | T1(20): 013.166 | T2(20): 022.528 | T3(20): 036.864
Belegungsfaktor: 0,1047120 | T(20): 089.526 | T1(20): 027.794 | T2(20): 022.235 | T3(20): 039.497
Belegungsfaktor: 0,1041667 | T(20): 073.728 | T1(20): 014.921 | T2(20): 021.357 | T3(20): 037.450
Belegungsfaktor: 0,1036269 | T(20): 076.069 | T1(20): 018.725 | T2(20): 021.358 | T3(20): 035.986
Belegungsfaktor: 0,1030928 | T(20): 079.580 | T1(20): 016.092 | T2(20): 021.943 | T3(20): 041.545
Belegungsfaktor: 0,1025641 | T(20): 074.021 | T1(20): 013.751 | T2(20): 019.017 | T3(20): 041.253
Belegungsfaktor: 0,1020408 | T(20): 074.313 | T1(20): 017.555 | T2(20): 020.187 | T3(20): 036.571
Belegungsfaktor: 0,1015228 | T(20): 210.944 | T1(20): 122.002 | T2(20): 029.550 | T3(20): 059.392
Belegungsfaktor: 0,1010101 | T(20): 183.442 | T1(20): 089.819 | T2(20): 040.960 | T3(20): 052.663
Belegungsfaktor: 0,1005025 | T(20): 093.038 | T1(20): 031.305 | T2(20): 020.773 | T3(20): 040.960
Belegungsfaktor: 0,1000000 | T(20): 081.627 | T1(20): 020.187 | T2(20): 022.235 | T3(20): 039.205
Belegungsfaktor: 0,0995025 | T(20): 190.465 | T1(20): 124.343 | T2(20): 023.699 | T3(20): 042.423
Belegungsfaktor: 0,0990099 | T(20): 403.456 | T1(20): 312.759 | T2(20): 038.034 | T3(20): 052.663
Belegungsfaktor: 0,0985222 | T(20): 077.239 | T1(20): 020.187 | T2(20): 021.065 | T3(20): 035.987
Belegungsfaktor: 0,0980392 | T(20): 071.680 | T1(20): 014.921 | T2(20): 019.895 | T3(20): 036.864
Belegungsfaktor: 0,0975610 | T(20): 125.805 | T1(20): 068.754 | T2(20): 020.772 | T3(20): 036.279
Belegungsfaktor: 0,0970874 | T(20): 106.789 | T1(20): 024.284 | T2(20): 026.916 | T3(20): 055.589
Belegungsfaktor: 0,0966184 | T(20): 074.898 | T1(20): 016.384 | T2(20): 021.358 | T3(20): 037.156
Belegungsfaktor: 0,0961538 | T(20): 068.170 | T1(20): 013.459 | T2(20): 019.309 | T3(20): 035.402
Belegungsfaktor: 0,0956938 | T(20): 069.047 | T1(20): 011.996 | T2(20): 019.017 | T3(20): 038.034
Belegungsfaktor: 0,0952381 | T(20): 088.064 | T1(20): 022.528 | T2(20): 023.113 | T3(20): 042.423
Belegungsfaktor: 0,0947867 | T(20): 075.484 | T1(20): 014.629 | T2(20): 020.480 | T3(20): 040.375
Belegungsfaktor: 0,0943396 | T(20): 084.261 | T1(20): 023.113 | T2(20): 019.310 | T3(20): 041.838
Belegungsfaktor: 0,0938967 | T(20): 1.308.671 | T1(20): 1.240.210 | T2(20): 023.405 | T3(20): 045.056
Belegungsfaktor: 0,0934579 | T(20): 145.994 | T1(20): 082.505 | T2(20): 023.406 | T3(20): 040.083
Belegungsfaktor: 0,0930233 | T(20): 179.931 | T1(20): 122.880 | T2(20): 021.357 | T3(20): 035.694
Belegungsfaktor: 0,0925926 | T(20): 075.483 | T1(20): 015.799 | T2(20): 021.358 | T3(20): 038.326
Belegungsfaktor: 0,0921659 | T(20): 101.230 | T1(20): 030.135 | T2(20): 022.820 | T3(20): 048.275
Belegungsfaktor: 0,0917431 | T(20): 161.792 | T1(20): 095.963 | T2(20): 024.576 | T3(20): 041.253
